sampleID,read_count,p_Proteobacteria,c_Betaproteobacteria,c_Clostridia,o_Micrococcales,f_Corynebacteriaceae,f_Enterobacteriaceae,f_Lachnospiraceae,f_Mycoplasmataceae,f_Neisseriaceae,f_Pasteurellaceae,f_Peptostreptococcaceae,f_Prevotellaceae,g_Actinobaculum,g_Actinomyces,g_Aerococcus,g_Alistipes,g_Anaerococcus,g_Arcanobacterium,g_Bacteroides,g_Bifidobacterium,g_Blautia,g_Brevibacterium,g_Campylobacter,g_Corynebacterium,g_Delftia,g_Dialister,g_Dorea,g_Enterococcus,g_Ezakiella,g_Faecalibacterium,g_Finegoldia,g_Fusobacterium,g_Gemella,g_Haemophilus,g_Lactobacillus,g_Megasphaera,g_Mobiluncus,g_Moryella,g_Mycoplasma,g_Neisseria,g_Parabacteroides,g_Parvimonas,g_Peptoniphilus,g_Peptostreptococcus,g_Porphyromonas,g_Prevotella,g_Roseburia,g_Slackia,g_Sneathia,g_Staphylococcus,g_Streptococcus,g_Sutterella,g_Ureaplasma,g_Varibaculum,g_Veillonella,Atopobium_minutum,Gardnerella_vaginalis,Lactobacillus_crispatus,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Prevotella_amnii,Prevotella_bergensis,Prevotella_bivia,Prevotella_buccalis,Prevotella_disiens,Prevotella_melaninogenica,Prevotella_timonensis,Sneathia_sanguinegens,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
X1223,850,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,3,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,833,0,1,0,0,0,0,0,0,0,1,0,0.4981985401166704,0.41379865990642495,0.002644496490989713,0.0015692690917184574,0.05743244590420249,0.0008706639562783079,0.005416530575245403,0.0203827245729068,0.003713525640679304,0.015502957361373266,0.0014727487160729944,0.003769125178273287,0.015678690790292892,I-A,0.4981985401166704,I
X1262,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326,0,1,0,0,0,0,0,0,0,0,0,0.49324652591807383,0.40747054424176604,0.0025950319644319135,0.0014125346094098852,0.056541840453171885,0.0007030887756252026,0.00522139953570535,0.01995951531703274,0.003663234508054756,0.015312040018630535,0.0014534716920433669,0.003685634846960285,0.015418470242969275,I-A,0.49324652591807383,I
X1265,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1095,7,7,7,0,0,0,0,0,0,0,0,0.49068873433796156,0.40809152263279785,0.004529042670803413,0.0033201387189431184,0.05838160044551806,0.0008610482649600659,0.005588717334690371,0.020538598752689832,0.005545498722013391,0.01553262104089932,0.0018294220440656422,0.004256146485112312,0.017660049789809226,I-A,0.49068873433796156,I
X1186,693,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,450,237,0,0,2,0,0,0,0,0,0.005089821645960106,0.03440749218782341,0.021958867028799477,0.3436840962550479,0.27000096714457106,0.02222215909536773,0.046908148078224805,0.03122388409371941,0.008578382589625103,0.006220954159106786,0.0007736969744278956,0.05257063874672935,0.22645604885349135,III-A,0.3436840962550479,III
X1121,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,0,0,18,0,0,0,0,0,0,0,0,0.4890409096483364,0.4059162280959247,0.0025998163486148787,0.0013683820821354673,0.05636351217424419,0.0006842958001879331,0.005205989463045526,0.019983639799754035,0.0036607224715934318,0.015285824726013145,0.001460903821990027,0.0036922492215277344,0.01975250919045235,I-A,0.4890409096483364,I
X1258,564,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,1,0,0.0036910794307703693,0.030904643137778593,0.026402674158781628,0.474476959209281,0.3449588308697051,0.02666608404730093,0.055746142610125664,0.035148948961856795,0.010140529946970038,0.006740107744189594,0.0005447797748116683,0.06287218776023608,0.12123964104412331,III-A,0.474476959209281,III
X1176,1023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,0,0,0,0,0,0,0.0036911043038217366,0.03090517836585238,0.026395869538466413,0.4745309259928022,0.3450117909234952,0.026623802196620142,0.055726080248593234,0.03512151460140457,0.01013845977049264,0.006740333039432717,0.0005431862442112798,0.06287727327411237,0.12125354726682465,III-A,0.4745309259928022,III
X1263,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,1,320,48,0,0,0,0,0,0,0,0,0.2567036217397296,0.2539471746733621,0.017181151456219967,0.21589273979301682,0.22246482750512458,0.016075402548292664,0.03610320162758655,0.03527337339857453,0.008176539084746892,0.01380556046029635,0.0013029096404921492,0.03844772444290701,0.10068195885587133,I-A,0.2567036217397296,I
X1117,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,656,0,176,23,0,0,0,0,0,0,0,0,0.40954761968812675,0.36564477667733497,0.008709741597886303,0.08380846294618786,0.12479601061794285,0.0072375968857276455,0.01846292570289948,0.027666498355959395,0.005780311335990574,0.01551672029880582,0.0014655735222483326,0.018265460023389427,0.049629083967281794,I-A,0.40954761968812675,I
X1234,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,4,0,2,15,0,993,2,0,0,0,0,0,0,0,1,0.008739007582528787,0.03569548427992721,0.02657628563872853,0.47350529361774635,0.3479891838162543,0.027016315402885533,0.056583789326481185,0.03582026517459164,0.010538100082115056,0.0070198494981264705,0.0006261955565173521,0.06331383394611051,0.12265750918208729,III-A,0.47350529361774635,III
