sampleID,read_count,d_Eukaryota,p_Proteobacteria,c_Clostridia,o_Micrococcales,f_Carnobacteriaceae,f_Corynebacteriaceae,f_Enterobacteriaceae,f_Lachnospiraceae,f_Mycoplasmataceae,f_Neisseriaceae,f_Pasteurellaceae,f_Peptostreptococcaceae,f_Prevotellaceae,g_Acinetobacter,g_Actinomyces,g_Actinotignum,g_Aerococcus,g_Alistipes,g_Alloprevotella,g_Anaerococcus,g_Anaeroglobus,g_Arcanobacterium,g_Bacteroides,g_Bulleidia,g_Campylobacter,g_Citrobacter,g_Corynebacterium,g_Cupriavidus,g_Delftia,g_Dialister,g_Enterobacter,g_Enterococcus,g_Ezakiella,g_Facklamia,g_Finegoldia,g_Fusobacterium,g_Gallicola,g_Gemella,g_Granulicatella,g_Haemophilus,g_Howardella,g_Jonquetella,g_Klebsiella,g_Kluyvera,g_Kocuria,g_Lachnoclostridium,g_Lactobacillus,g_Lactococcus,g_Lawsonella,g_Megasphaera,g_Micrococcus,g_Mobiluncus,g_Mogibacterium,g_Moryella,g_Murdochiella,g_Mycoplasma,g_Negativicoccus,g_Neisseria,g_Parvimonas,g_Peptococcus,g_Peptoniphilus,g_Peptostreptococcus,g_Phascolarctobacterium,g_Porphyromonas,g_Prevotella,g_Propionimicrobium,g_Proteus,g_Ralstonia,g_Rothia,g_Sneathia,g_Solobacterium,g_Sphingomonas,g_Staphylococcus,g_Stenotrophomonas,g_Streptococcus,g_Sutterella,g_Ureaplasma,g_Varibaculum,g_Variovorax,g_Veillonella,Atopobium_deltae,Atopobium_minutum,Atopobium_vaginae,Gardnerella_vaginalis,Lactobacillus_crispatus,Lactobacillus_delbrueckii,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Prevotella_amnii,Prevotella_bivia,Prevotella_buccalis,Prevotella_colorans,Prevotella_disiens,Prevotella_timonensis,Sneathia_amnii,Sneathia_sanguinegens,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
SRR2915527,5490,0,0,195,0,0,0,0,0,5,0,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,847,0,137,0,0,0,0,0,0,9,0,6,0,0,0,706,0,0,0,0,24,0,0,0,0,0,0,5,0,0,0,0,0,3327,0,0,0,0,110,0,542,0,0,0,0,0,21,0,0.00022343014631529673,0.0034158663290064463,0.007019166167568405,0.014995764648045305,0.023353048309505933,0.09692059238074902,0.16866078334528825,0.010770646066424219,0.0020160436144883685,0.004629625493768959,0.00047818815775368137,0.011614751676007196,0.01372202298607315,IV-B,0.16866078334528825,IV-B
SRR2915528,4243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2278,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,2165,0,0,0,0,0,0,0,1536,0,0.0032486370259954215,0.029954816608275647,0.026034387720921252,0.39116352416929207,0.34621373266994265,0.03220067400693671,0.06527891937362462,0.043908523353293656,0.010054573011383388,0.03709735071380508,0.000733611563826401,0.06796823172897579,0.12441831606094447,III-A,0.39116352416929207,III
SRR2915529,6492,0,0,45,0,0,0,0,0,0,0,0,0,2246,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,898,0,137,0,0,0,0,0,0,0,0,0,0,0,0,2246,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,2693,0,0,0,0,4,0,2054,0,0,0,0,0,131,0,5.251946078869537e-05,0.0012854802143469643,0.003641279935973313,0.0006795424840500556,0.006017448878441544,0.08246734316790319,0.10365451086193309,0.007146316111589488,0.00111601677949666,0.0027945023188394365,0.0003741394967021351,0.005183163678372898,0.004799879884106725,IV-B,0.10365451086193309,IV-B
SRR2915530,5876,0,0,3467,0,0,0,0,3393,0,0,0,0,422,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,640,0,7,0,0,0,0,0,0,38,0,3,0,0,0,422,0,0,0,0,29,0,0,0,0,0,0,0,0,0,2,0,0,1019,4,0,0,0,0,0,141,0,0,0,0,0,25,0,2.7868149114595598e-05,0.0005178326139791843,0.0014039320444808633,0.00014210571027306585,0.0022006197940976973,0.02360161602389913,0.03129458992439979,0.003620923701063646,0.00055352240190939,0.0010791395024044987,0.00020534388351090853,0.001694451603320046,0.0015944356648391683,IV-B,0.03129458992439979,IV-B
SRR2915531,6189,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6110,0,0,0,0,0,0,0,0,0,0.003705419850477634,0.03109312979824229,0.02656679478753626,0.47723081315943966,0.3481115425144848,0.026902634814133287,0.05638055513702635,0.03549752585092974,0.010226034875607403,0.006784391494936394,0.0006428071792923628,0.06339180144271876,0.12220512116507129,III-A,0.47723081315943966,III
SRR2915532,5788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,2079,31,0,0,0,0,0,0,0,0,0.03602406138781797,0.05318997218328653,0.014878915943321793,0.2003053314833357,0.1784612246157433,0.015917703930937496,0.03341753882571548,0.024064761664901995,0.005969099258780245,0.005322129761224072,0.000460790860445873,0.035952472081586424,0.07026024754404311,III-A,0.2003053314833357,III
SRR2915533,5063,0,208,404,0,0,22,206,0,0,0,0,0,1249,0,0,0,0,0,0,351,0,4,0,0,0,0,22,0,0,58,0,0,0,0,24,0,0,15,0,0,0,0,0,0,0,0,86,0,0,123,0,0,0,0,0,0,0,0,8,0,6,0,0,0,1249,0,0,0,0,1976,0,0,3,0,29,0,0,0,0,54,0,0,734,0,0,0,0,86,0,732,0,0,0,0,0,1532,0,0.00023185244919957722,0.002678422118172793,0.004426602555570038,0.012783054357095522,0.016243702734021287,0.04301191753968293,0.04884001003312722,0.022947701018745152,0.0072969729434357285,0.002798791027433373,0.0024257235182467457,0.007698153421244021,0.008684313084578364,IV-B,0.04884001003312722,IV-B
SRR2915534,7053,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6290,0,0,0,0,0,0,0,0,0,0.003780404434145768,0.030634563483524245,0.025685017938061206,0.4481721145307423,0.33388085824598845,0.026222326191401284,0.0548643610152501,0.0347956157892904,0.009857223233078591,0.006559122007751331,0.0005291819281111566,0.06152491203775038,0.11822070072892715,III-A,0.4481721145307423,III
SRR2915535,5037,0,0,296,0,0,0,0,0,0,0,0,0,1227,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,1942,0,0,0,0,529,0,0,0,0,0,0,0,387,0,0.0010129687026799292,0.011098529715723737,0.012882523656889775,0.0913644249081275,0.10649019865187623,0.09609617668246213,0.157223613576534,0.027955571615469705,0.0043780128695971665,0.0053094084463112924,0.000538183560554817,0.030709097914729904,0.04781114337397042,IV-B,0.157223613576534,IV-B
SRR2915536,6287,0,118,386,0,0,0,0,23,0,0,0,0,2142,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,22,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,475,0,0,43,0,0,0,0,0,0,0,0,48,0,41,0,0,0,2142,0,0,0,0,497,0,0,0,0,2227,118,0,0,0,81,0,0,67,0,0,0,0,382,0,1363,0,0,0,0,145,87,0,0.0007669098486573406,0.009443058985483274,0.012099975524786926,0.04807370458219818,0.05868895395492454,0.042513384118602365,0.034555964168179895,0.0659461047207347,0.3742008596858965,0.018834193991578575,0.05782048306548645,0.04782948801757625,0.022814773808043327,IV-C1,0.3742008596858965,IV-C
