"sampleID","read_count","d_Eukaryota","p_Proteobacteria","c_Clostridia","o_Clostridiales","o_Micrococcales","f_Carnobacteriaceae","f_Corynebacteriaceae","f_Enterobacteriaceae","f_Lachnospiraceae","f_Mycoplasmataceae","f_Neisseriaceae","f_Pasteurellaceae","f_Peptostreptococcaceae","f_Prevotellaceae","f_Ruminococcaceae","g_Acidaminococcus","g_Acinetobacter","g_Actinobacillus","g_Actinomyces","g_Actinotignum","g_Aerococcus","g_Akkermansia","g_Alistipes","g_Alloprevotella","g_Alloscardovia","g_Anaerococcus","g_Anaeroglobus","g_Anaerostipes","g_Arcanobacterium","g_Bacillus","g_Bacteroides","g_Bergeyella","g_Bifidobacterium","g_Blautia","g_Brevibacterium","g_Bulleidia","g_Campylobacter","g_Catonella","g_Collinsella","g_Corynebacterium","g_Cupriavidus","g_Delftia","g_Dermabacter","g_Dialister","g_Dorea","g_Enhydrobacter","g_Enterococcus","g_Ezakiella","g_Facklamia","g_Faecalibacterium","g_Finegoldia","g_Fusicatenibacter","g_Fusobacterium","g_Gallicola","g_Gemella","g_Globicatella","g_Granulicatella","g_Haemophilus","g_Helcobacillus","g_Helcococcus","g_Helicobacter","g_Howardella","g_Jonquetella","g_Klebsiella","g_Kocuria","g_Lachnoclostridium","g_Lachnospira","g_Lactobacillus","g_Lactococcus","g_Lawsonella","g_Leptotrichia","g_Leucobacter","g_Megasphaera","g_Micrococcus","g_Mobiluncus","g_Mogibacterium","g_Moryella","g_Murdochiella","g_Mycoplasma","g_Negativicoccus","g_Neisseria","g_Nosocomiicoccus","g_Oligella","g_Olsenella","g_Parabacteroides","g_Parvimonas","g_Peptococcus","g_Peptoniphilus","g_Peptostreptococcus","g_Phascolarctobacterium","g_Porphyromonas","g_Prevotella","g_Proteus","g_Pseudarthrobacter","g_Pyramidobacter","g_Ralstonia","g_Romboutsia","g_Roseburia","g_Rothia","g_Senegalimassilia","g_Shewanella","g_Slackia","g_Sneathia","g_Solobacterium","g_Sphingomonas","g_Staphylococcus","g_Stenotrophomonas","g_Streptococcus","g_Subdoligranulum","g_Sutterella","g_Tessaracoccus","g_Trichococcus","g_Trueperella","g_Ureaplasma","g_Varibaculum","g_Variovorax","g_Veillonella","g_Weeksella","Atopobium_deltae","Atopobium_parvulum","Atopobium_vaginae","Gardnerella_vaginalis","Lactobacillus_crispatus","Lactobacillus_delbrueckii","Lactobacillus_gasseri","Lactobacillus_iners","Prevotella_amnii","Prevotella_bivia","Prevotella_buccalis","Prevotella_corporis","Prevotella_disiens","Prevotella_nanceiensis","Prevotella_oris","Prevotella_timonensis","Sneathia_sanguinegens"
"SRR18691312",188065,0,0,6549,0,0,0,2,0,219,0,0,0,300,44758,0,0,0,0,0,0,13,0,0,0,0,520,0,0,33,0,0,0,0,0,0,87,366,0,0,0,0,0,0,819,0,0,0,16,0,0,92,0,0,0,275,0,0,0,0,0,0,18,0,0,0,0,0,128,0,2,0,0,1387,0,679,0,187,36,0,0,0,0,0,0,0,620,0,404,300,0,5551,41122,0,0,0,0,0,0,0,0,0,0,111146,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,12471,0,0,0,42,32578,0,41,15,10,0,0,4280,25176
"SRR18691313",174322,0,4,11740,0,0,0,141,0,27,0,0,0,2,28893,3,0,0,0,0,0,91,0,0,0,0,198,0,0,99,0,0,0,17,0,0,24,98,0,0,80,0,0,0,4492,0,0,0,33,0,0,1317,0,0,5,215,0,0,0,0,0,0,11,16,0,0,0,0,192,0,61,0,0,4406,0,981,0,0,47,0,0,0,0,0,0,0,854,0,1099,0,0,95,21493,0,0,0,0,0,0,0,0,0,3,2279,0,0,10,0,15,3,4,0,0,0,0,12,0,0,0,0,0,28556,69395,0,0,0,0,11701,0,41,174,218,0,0,4738,1536
"SRR18691314",236584,0,3,3701,0,23,0,269,0,26,0,0,0,7,43268,0,0,0,0,0,0,30,0,0,0,0,35,0,0,100,0,3,0,0,0,20,6,52,0,0,255,0,0,0,7708,0,0,0,37,0,0,121,0,0,0,30,0,0,0,0,0,0,8,20,0,0,0,0,162,0,14,0,0,47868,0,545,0,5,68,0,0,0,0,0,0,0,342,0,616,4,0,82,42783,0,0,0,0,0,0,0,0,0,0,1326,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7071,111791,0,0,0,62,40851,0,0,471,203,0,0,740,193
"SRR18691315",148753,0,11273,576,0,74,0,668,19,32,8250,0,713,222,2218,16,0,0,0,0,0,990,0,0,0,0,0,0,0,0,0,11,0,62,0,30,130,0,0,0,668,0,0,13,310,0,0,89,0,0,16,77,0,21,0,252,0,0,0,0,0,0,0,0,0,0,0,0,63291,0,0,0,0,7320,31,0,0,0,0,5042,0,0,0,0,0,0,225,0,0,222,0,19,1693,0,0,0,0,0,0,0,0,0,0,558,0,0,1800,0,176,0,0,0,0,0,3208,0,0,26,0,0,0,22648,26433,0,0,0,24992,612,119,0,0,26,0,0,61,35
"SRR18691316",240222,0,2097,12365,0,494,0,856,15,2033,2278,0,1997,5252,2672,0,0,28,0,5,0,0,0,0,0,0,2696,0,0,0,0,0,0,92,0,59,0,0,0,0,848,0,0,14,1427,0,3,158,0,0,0,533,0,0,0,20054,0,0,83,0,0,0,2016,0,0,0,0,0,1787,0,8,0,0,22,54,0,0,0,0,489,0,0,0,0,0,0,0,0,1851,5252,0,0,2672,0,0,0,4,0,0,29,0,0,0,15636,0,16,596,0,713,0,0,0,0,0,1789,0,0,759,0,0,0,103466,74612,0,0,0,72,1835,193,12,0,16,0,0,10,0
"SRR18691319",178064,0,0,110,0,24,0,10,0,15,1636,0,0,47,7033,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,319,0,0,0,0,0,0,10,0,0,8,732,0,0,0,0,0,0,9,0,0,0,522,0,0,0,0,0,0,15,0,0,0,0,0,97433,0,0,0,0,5,0,0,0,0,0,636,0,0,0,0,0,0,2,0,35,47,0,8,7025,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,26,0,0,0,0,0,1000,0,0,0,0,0,0,29809,39598,0,0,0,158,4618,32,0,0,87,0,0,16,0
"SRR18691320",151609,0,11315,10576,0,1163,0,5256,143,11,3980,0,11028,308,1530,0,0,0,0,135,23,0,0,0,0,0,9303,0,0,0,0,0,0,0,0,276,0,0,0,0,5175,0,0,117,0,0,0,519,0,0,0,699,0,608,0,32035,0,0,419,0,0,0,0,0,0,0,0,0,294,0,81,0,0,29,390,0,0,0,0,275,0,0,0,0,0,0,0,175,80,308,0,0,1527,0,0,0,0,0,0,38,0,0,0,13182,0,0,1209,0,67796,0,0,0,0,0,3705,0,0,0,0,0,0,710,854,0,0,0,99,899,277,0,0,0,0,0,0,0
"SRR18691321",235949,0,6,82,0,0,0,9,0,41,5526,0,6,5,112662,19,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5367,0,0,0,0,0,0,9,0,0,0,1025,9,0,0,0,0,16,7,0,19,0,559,0,0,6,0,0,0,0,0,0,0,0,0,16929,0,0,0,0,5,0,0,0,0,0,1792,0,0,0,0,0,0,0,0,7,5,0,0,112564,0,0,0,0,0,0,0,0,0,0,24042,0,0,13,0,76,3,0,0,0,0,3734,0,0,4,0,0,0,18869,46067,0,0,0,66,86436,0,0,0,0,0,0,11,0
"SRR18691322",199110,0,2,6744,606,14,0,631,0,87,0,0,0,187,7253,0,0,0,0,7,5,0,0,0,0,0,852,96,0,0,0,0,0,0,0,5,0,121,0,0,416,0,0,9,531,0,0,0,308,8,0,3122,0,371,29,0,0,0,0,0,9,0,64,16,0,0,0,0,182450,0,215,0,0,8,0,20,0,13,12,0,17,0,302,0,0,0,0,0,1441,187,0,129,7238,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,122,0,0,0,0,0,0,17,0,0,0,15,0,0,0,0,0,0,82916,0,0,85,0,0,0,0,117,0
"SRR18691323",160052,0,222,24573,2295,86,0,7312,51,184,0,0,0,111,12278,0,0,0,0,110,0,0,0,0,0,0,2956,526,0,0,0,0,0,22,0,86,0,353,0,0,5776,0,0,0,3774,0,0,0,201,0,0,13993,0,281,119,0,0,0,0,0,0,0,101,178,51,0,0,0,107999,0,1536,0,0,0,0,0,0,57,52,0,0,0,0,0,0,0,0,0,4477,111,0,337,12192,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,1000,0,0,0,0,0,0,59,0,0,0,0,0,5,0,0,0,0,44364,0,0,441,0,0,0,0,984,0
